"RPT_REC_NUM","ProviderNumber","SNF_Name","Address","City","State","ZipCode","County","SNF_BedCount","SNF_BedDaysAvailable","SNF_MedicareInpatientDays","SNF_MedicaidInpatientDays","SNF_OtherInpatientDays","SNF_MedicareDischarges","SNF_MedicaidDischarges","SNF_OtherDischarges","SNF_MedicareALOS","SNF_MedicaidALOS","PRVDR_CTRL_TYPE_CD","PRVDR_NUM","NPI","RPT_STUS_CD","FY_BGN_DT","FY_END_DT","PROC_DT","INITL_RPT_DT","LAST_RPT_DT","TRNSMTL_NUM","FI_NUM","ADR_VNDR_CD","FI_CREAT_DT","UTIL_CD","NPR_DT","SPEC_IND","FI_RCPT_DT","YEAR","DAYS_IN_COST_REPORTING_PERIOD"
"1156385","225718","HANCOCK PARK LIMITED PARTNERSHIP","164 PARKINGWAY","QUINCY","MA","02169","NORFOLK",142,4402,474,2539,1108,24,9,19,19,282,5,"225718",NA,2,2016-10-01,2016-10-31,"04/26/2017","N","N","",5901,4,"04/26/2017","F","04/25/2017","","03/01/2017",2016,30
"1157220","345507","AUTUMN CARE OF MYRTLE GROVE","5725 CAROLINA BEACH ROAD","WILMINGTON","NC","28412","NEW HANOVER",90,8280,2123,3529,2117,82,11,37,25,320,4,"345507",NA,2,2016-10-01,2016-12-31,"05/15/2017","N","N","",11501,4,"05/09/2017","F","05/09/2017","","05/03/2017",2016,91
"1157221","345222","AUTUMN CARE OF DREXEL","307 OAKLAND AVENUE","MORGANTON","NC","28655","BURKE",100,9200,754,6199,1115,10,27,27,75,229,4,"345222",NA,2,2016-10-01,2016-12-31,"05/15/2017","N","N","",11501,4,"05/09/2017","F","05/09/2017","","05/03/2017",2016,91
"1157223","345567","AUTUMN CARE OF CORNELIUS","19530 MT ZION PARKWAY","CONNELIUS","NC","28031","MECKLENBURG",102,9384,1310,3572,3218,34,10,72,38,357,4,"345567",NA,2,2016-10-01,2016-12-31,"05/15/2017","N","N","",11501,4,"05/10/2017","F","05/09/2017","","05/03/2017",2016,91
"1158700","135038","LIFE CARE CENTER OF BOISE","808 NORTH CURTIS ROAD","BOISE","ID","83706","ADA",153,14076,627,5242,643,37,16,19,16,327,4,"135038",NA,1,2016-10-01,2016-12-31,"05/31/2017","N","N","",10001,4,"05/23/2017","F","","","05/04/2017",2016,91
"1159757","345280","AUTUMN CARE OF RAEFORD","1206 N. FULTON ST","RAEFORD","NC","28376","HOKE",132,12144,1067,7551,1626,23,37,16,46,204,4,"345280",NA,1,2016-10-01,2016-12-31,"06/06/2017","N","N","",11501,4,"05/08/2017","F","","","05/03/2017",2016,91
"1159761","345514","AUTUMN CARE OF NASH","1210 EASTERN DRIVE","NASHVILLE","NC","27856","NASH",60,5520,1286,3204,779,35,5,20,36,640,4,"345514",NA,1,2016-10-01,2016-12-31,"06/06/2017","N","N","",11501,4,"05/08/2017","F","","","05/03/2017",2016,91
"1159776","345269","AUTUMN CARE OF SALISBURY","1505 BRINGLE FERRY ROAD","SALISBURY","NC","28146","ROWAN",97,8924,1555,5228,1475,42,19,32,37,275,4,"345269",NA,2,2016-10-01,2016-12-31,"06/06/2017","N","N","",11501,4,"06/02/2017","F","06/02/2017","","05/25/2017",2016,91
"1159777","345351","AUTUMN CARE OF SALUDA","501  ESSEOLA DRIVE","SALUDA","NC","28773","POLK",99,9108,436,5838,509,11,15,16,39,389,4,"345351",NA,2,2016-10-01,2016-12-31,"06/06/2017","N","N","",11501,4,"06/02/2017","F","06/02/2017","","05/25/2017",2016,91
"1159778","345553","AUTUMN CARE OF FAYETTEVILLE","1401 71ST SCHOOL ROAD","FAYETTEVILLE","NC","28314","CUMBERLAND",90,8280,1494,3585,2293,62,17,33,24,210,4,"345553",NA,2,2016-10-01,2016-12-31,"06/06/2017","N","N","",11501,4,"06/02/2017","F","06/02/2017","","05/25/2017",2016,91
